example_id                                                              | status  | run_time             |
./spec/models/game_spec.rb[1:4:3:1:1:1]                                 | passed  | 0.33512 seconds      |
./spec/models/game_spec.rb[1:4:3:1:2]                                   | passed  | 0.00203 seconds      |
./spec/models/game_spec.rb[1:4:3:1:3]                                   | passed  | 0.32606 seconds      |
./spec/models/game_spec.rb[1:4:3:1:4]                                   | passed  | 0.31545 seconds      |
./spec/models/game_spec.rb[1:4:3:2:1:1]                                 | passed  | 0.35334 seconds      |
./spec/models/game_spec.rb[1:4:3:2:2]                                   | passed  | 0.0033 seconds       |
./spec/models/game_spec.rb[1:4:3:2:3]                                   | passed  | 0.30436 seconds      |
./spec/models/game_spec.rb[1:4:3:2:4]                                   | passed  | 0.31142 seconds      |
./spec/models/game_spec.rb[1:4:4:1:1:1]                                 | passed  | 0.55757 seconds      |
./spec/models/game_spec.rb[1:4:4:1:2]                                   | passed  | 0.00303 seconds      |
./spec/models/game_spec.rb[1:4:4:1:3]                                   | passed  | 0.55523 seconds      |
./spec/models/game_spec.rb[1:4:4:1:4]                                   | passed  | 0.53837 seconds      |
./spec/models/game_spec.rb[1:4:4:2:1:1]                                 | passed  | 0.55137 seconds      |
./spec/models/game_spec.rb[1:4:4:2:2]                                   | passed  | 0.00295 seconds      |
./spec/models/game_spec.rb[1:4:4:2:3]                                   | passed  | 0.52112 seconds      |
./spec/models/game_spec.rb[1:4:4:2:4]                                   | passed  | 0.51461 seconds      |
./spec/models/game_spec.rb[1:5:1]                                       | passed  | 0.89621 seconds      |
./spec/models/game_spec.rb[1:5:2:1:1]                                   | passed  | 0.23807 seconds      |
./spec/models/game_spec.rb[1:5:2:1:2]                                   | passed  | 0.39705 seconds      |
./spec/models/game_spec.rb[1:5:2:1:3]                                   | passed  | 0.5034 seconds       |
./spec/models/game_spec.rb[1:5:2:2:1]                                   | passed  | 0.11029 seconds      |
./spec/models/game_spec.rb[1:5:2:2:2]                                   | passed  | 0.58533 seconds      |
./spec/models/game_spec.rb[1:5:3]                                       | passed  | 1.67 seconds         |
./spec/models/game_spec.rb[1:5:4:1:1]                                   | passed  | 0.08359 seconds      |
./spec/models/game_spec.rb[1:5:4:1:2]                                   | passed  | 0.08463 seconds      |
./spec/models/game_spec.rb[1:5:4:2:1]                                   | passed  | 0.0895 seconds       |
./spec/models/game_spec.rb[1:5:4:3:1]                                   | passed  | 0.09622 seconds      |
./spec/models/game_spec.rb[1:5:5:1:1]                                   | passed  | 0.10071 seconds      |
./spec/models/game_spec.rb[1:5:5:1:2:1]                                 | passed  | 0.22272 seconds      |
./spec/models/game_spec.rb[1:5:5:1:2:2]                                 | passed  | 0.28227 seconds      |
./spec/models/game_spec.rb[1:5:5:1:2:3]                                 | passed  | 0.38009 seconds      |
./spec/models/game_spec.rb[1:5:5:1:3:1]                                 | passed  | 0.40016 seconds      |
./spec/models/game_spec.rb[1:5:5:1:3:2]                                 | passed  | 0.45509 seconds      |
